Date,Open,High,Low,Close,Adj Close,Volume
2016-01-15,19781.460938,19828.929688,19500.380859,19520.769531,19520.769531,1932607600
2016-01-18,19287.380859,19439.490234,19195.560547,19237.449219,19237.449219,2038630500
2016-01-19,19283.570313,19647.750000,19204.220703,19635.810547,19635.810547,1825359900
2016-01-20,19332.220703,19332.220703,18833.880859,18886.300781,18886.300781,2459536700
2016-01-21,19079.130859,19238.269531,18534.300781,18542.150391,18542.150391,2608444800
2016-01-22,19000.789063,19152.800781,18769.609375,19080.509766,19080.509766,2388446600
2016-01-25,19341.410156,19490.269531,19291.910156,19340.140625,19340.140625,1776766600
2016-01-26,19068.839844,19098.070313,18811.830078,18860.800781,18860.800781,1873245100
2016-01-27,19211.859375,19216.990234,18931.339844,19052.449219,19052.449219,1929850700
2016-01-28,19093.769531,19223.589844,18982.220703,19195.830078,19195.830078,1941781800
2016-01-29,19138.419922,19709.990234,19130.589844,19683.109375,19683.109375,2350176600
2016-02-01,19770.960938,19770.960938,19444.259766,19595.500000,19595.500000,1596458400
2016-02-02,19474.869141,19628.570313,19403.490234,19446.839844,19446.839844,1783516300
2016-02-03,18910.880859,19032.710938,18764.820313,18991.589844,18991.589844,2126513100
2016-02-04,19190.359375,19338.369141,19166.179688,19183.089844,19183.089844,1556986500
2016-02-05,19287.359375,19397.880859,19230.000000,19288.169922,19288.169922,1264808100
2016-02-11,18486.929688,18627.509766,18446.560547,18545.800781,18545.800781,1868442400
2016-02-12,18278.800781,18482.330078,18278.800781,18319.580078,18319.580078,2019813200
2016-02-15,18668.869141,18937.060547,18668.869141,18918.140625,18918.140625,1729340100
2016-02-16,19013.740234,19260.669922,18974.599609,19122.080078,19122.080078,1869161100
2016-02-17,19198.179688,19308.539063,18909.060547,18924.570313,18924.570313,1689473500
2016-02-18,19409.210938,19436.390625,19266.220703,19363.080078,19363.080078,1843924000
2016-02-19,19238.429688,19342.029297,19210.650391,19285.500000,19285.500000,1268689800
2016-02-22,19374.240234,19524.970703,19374.240234,19464.089844,19464.089844,1207462000
2016-02-23,19506.939453,19519.849609,19328.259766,19414.779297,19414.779297,1225027600
2016-02-24,19282.339844,19360.800781,19060.160156,19192.449219,19192.449219,1302717300
2016-02-25,19215.490234,19215.490234,18867.699219,18888.750000,18888.750000,1395869600
2016-02-26,19179.949219,19436.710938,19122.560547,19364.150391,19364.150391,1633549100
2016-02-29,19366.169922,19377.720703,19053.779297,19111.929688,19111.929688,1270443900
2016-03-01,19259.990234,19420.000000,19108.300781,19407.460938,19407.460938,1473881700
2016-03-02,19788.169922,20058.119141,19783.919922,20003.490234,20003.490234,2455833600
2016-03-03,20082.009766,20082.009766,19791.599609,19941.759766,19941.759766,1761676100
2016-03-04,20052.099609,20200.380859,19977.429688,20176.699219,20176.699219,1907805100
2016-03-07,20306.089844,20331.689453,20095.630859,20159.720703,20159.720703,1930240900
2016-03-08,20132.099609,20137.730469,19902.750000,20011.580078,20011.580078,1449306300
2016-03-09,19898.740234,20005.410156,19818.419922,19996.259766,19996.259766,1202836200
2016-03-10,20055.419922,20184.230469,19923.539063,19984.419922,19984.419922,1384555000
2016-03-11,19900.669922,20238.720703,19853.630859,20199.599609,20199.599609,1970725700
2016-03-14,20371.589844,20512.029297,20328.880859,20435.339844,20435.339844,1722861700
2016-03-15,20298.150391,20366.560547,20254.589844,20288.769531,20288.769531,1193143900
2016-03-16,20339.900391,20383.199219,20168.740234,20257.699219,20257.699219,1213704800
2016-03-17,20580.060547,20619.339844,20435.650391,20503.810547,20503.810547,1696007800
2016-03-18,20599.189453,20687.970703,20514.970703,20671.630859,20671.630859,2091585400
2016-03-21,20738.250000,20772.460938,20618.560547,20684.150391,20684.150391,1520109900
2016-03-22,20765.070313,20765.070313,20576.800781,20666.750000,20666.750000,1303372700
2016-03-23,20629.400391,20693.480469,20513.609375,20615.230469,20615.230469,1185399100
2016-03-24,20450.689453,20499.400391,20268.529297,20345.609375,20345.609375,1460918200
2016-03-29,20386.320313,20386.320313,20250.150391,20366.300781,20366.300781,1303869800
2016-03-30,20545.439453,20820.730469,20541.070313,20803.390625,20803.390625,2058668600
2016-03-31,20811.460938,20872.550781,20689.220703,20776.699219,20776.699219,1781006800
2016-04-01,20786.179688,20786.179688,20455.410156,20498.919922,20498.919922,1633594800
2016-04-05,20786.179688,20786.179688,20116.869141,20177.000000,20177.000000,3560825800
2016-04-06,20100.000000,20249.839844,20100.000000,20206.669922,20206.669922,1338272400
2016-04-07,20297.820313,20370.519531,20165.759766,20266.050781,20266.050781,1493940300
2016-04-08,20061.599609,20370.439453,20045.470703,20370.400391,20370.400391,1435612200
2016-04-11,20255.839844,20550.949219,20240.689453,20440.810547,20440.810547,1234203400
2016-04-12,20440.720703,20546.429688,20407.820313,20504.439453,20504.439453,997121600
2016-04-13,20739.339844,21171.289063,20716.910156,21158.710938,21158.710938,2500342000
2016-04-14,21456.609375,21511.080078,21266.210938,21337.810547,21337.810547,2054279800
2016-04-15,21374.650391,21423.060547,21234.119141,21316.470703,21316.470703,1413648900
2016-04-18,21129.679688,21172.000000,21002.769531,21161.500000,21161.500000,1426843200
2016-04-19,21438.130859,21459.039063,21259.169922,21436.210938,21436.210938,1462091100
2016-04-20,21452.820313,21452.820313,21103.339844,21236.310547,21236.310547,1716745500
2016-04-21,21406.400391,21634.740234,21331.589844,21622.250000,21622.250000,1709117500
2016-04-22,21448.150391,21495.789063,21358.529297,21467.039063,21467.039063,1282700700
2016-04-25,21408.560547,21430.570313,21254.460938,21304.439453,21304.439453,1199972500
2016-04-26,21380.019531,21419.919922,21080.880859,21407.269531,21407.269531,1346786700
2016-04-27,21372.330078,21442.509766,21277.039063,21361.599609,21361.599609,1247249600
2016-04-28,21488.960938,21654.070313,21255.419922,21388.029297,21388.029297,1684154400
2016-04-29,21215.199219,21235.390625,21023.769531,21067.050781,21067.050781,1603138400
2016-05-03,21061.769531,21061.769531,20668.369141,20676.939453,20676.939453,1707676300
2016-05-04,20556.500000,20580.380859,20411.410156,20525.830078,20525.830078,1555895400
2016-05-05,20363.859375,20534.759766,20342.750000,20449.820313,20449.820313,1354977100
2016-05-06,20357.449219,20377.939453,20058.769531,20109.869141,20109.869141,1725801800
2016-05-09,20279.900391,20303.189453,20125.779297,20156.810547,20156.810547,1323285400
2016-05-10,19962.429688,20294.460938,19962.429688,20242.679688,20242.679688,1446925800
2016-05-11,20347.759766,20347.759766,20008.919922,20055.289063,20055.289063,1337926500
2016-05-12,20100.500000,20100.500000,19863.619141,19915.460938,19915.460938,1150409200
2016-05-13,19843.490234,19881.910156,19594.609375,19719.289063,19719.289063,1758498600
2016-05-16,19711.769531,19998.759766,19705.910156,19883.949219,19883.949219,1486067400
2016-05-17,19987.240234,20145.769531,19847.699219,20118.800781,20118.800781,1568659300
2016-05-18,19862.419922,19923.830078,19749.289063,19826.410156,19826.410156,1351584400
2016-05-19,19729.630859,19793.460938,19646.349609,19694.330078,19694.330078,1148089000
2016-05-20,19631.710938,19954.330078,19631.710938,19852.199219,19852.199219,1247729300
2016-05-23,19788.130859,19955.029297,19750.619141,19809.029297,19809.029297,1086593700
2016-05-24,19828.019531,19870.160156,19712.669922,19830.429688,19830.429688,1174095900
2016-05-25,20156.759766,20379.660156,20156.759766,20368.050781,20368.050781,2040761100
2016-05-26,20373.480469,20404.730469,20249.960938,20397.109375,20397.109375,1347013200
2016-05-27,20425.000000,20620.150391,20290.839844,20576.769531,20576.769531,1611353900
2016-05-30,20523.669922,20765.609375,20465.839844,20629.390625,20629.390625,1793022100
2016-05-31,20617.330078,20974.710938,20617.330078,20815.089844,20815.089844,3129577700
2016-06-01,20726.529297,20898.449219,20713.289063,20760.980469,20760.980469,1422260700
2016-06-02,20769.810547,20878.210938,20680.650391,20859.220703,20859.220703,1988238300
2016-06-03,20956.080078,21049.199219,20887.789063,20947.240234,20947.240234,1869294300
2016-06-06,20971.130859,21039.869141,20840.949219,21030.220703,21030.220703,1431229200
2016-06-07,21218.960938,21351.330078,21153.679688,21328.240234,21328.240234,1820198000
2016-06-08,21294.269531,21352.369141,21179.949219,21297.880859,21297.880859,1506480000
2016-06-10,21240.080078,21270.619141,21017.980469,21042.640625,21042.640625,1640607200
2016-06-13,20647.509766,20664.589844,20430.810547,20512.990234,20512.990234,2083433200
2016-06-14,20476.750000,20537.919922,20358.939453,20387.529297,20387.529297,1498720500
2016-06-15,20161.009766,20553.580078,20161.009766,20467.519531,20467.519531,1729131100
2016-06-16,20284.910156,20297.400391,19964.369141,20038.419922,20038.419922,1901944200
2016-06-17,20244.230469,20282.039063,20090.800781,20169.980469,20169.980469,2193634100
2016-06-20,20425.060547,20551.019531,20288.490234,20510.199219,20510.199219,1565765000
2016-06-21,20522.359375,20681.789063,20516.730469,20668.439453,20668.439453,1608985100
2016-06-22,20553.939453,20841.509766,20515.250000,20795.119141,20795.119141,1835867700
2016-06-23,20862.589844,20889.050781,20753.939453,20868.339844,20868.339844,1663934000
2016-06-24,20483.509766,21034.179688,19662.699219,20259.130859,20259.130859,3953268600
2016-06-27,19982.660156,20329.160156,19969.470703,20227.300781,20227.300781,1789673800
2016-06-28,19898.750000,20196.199219,19898.750000,20172.460938,20172.460938,1919983900
2016-06-30,20736.849609,20828.029297,20614.650391,20794.369141,20794.369141,2032778200
2016-07-04,20967.470703,21166.019531,20840.640625,21059.199219,21059.199219,1838333600
2016-07-05,20919.519531,20945.980469,20737.160156,20750.720703,20750.720703,1225382700
2016-07-06,20475.400391,20560.060547,20304.390625,20495.289063,20495.289063,1633236900
2016-07-07,20606.679688,20731.119141,20576.740234,20706.919922,20706.919922,1125369300
2016-07-08,20622.830078,20645.589844,20468.529297,20564.169922,20564.169922,1194770200
2016-07-11,20951.169922,20972.849609,20840.000000,20880.500000,20880.500000,1998671500
2016-07-12,21046.939453,21252.640625,20957.259766,21224.740234,21224.740234,1970575300
2016-07-13,21356.640625,21441.230469,21279.769531,21322.369141,21322.369141,1825234400
2016-07-14,21297.539063,21581.419922,21242.929688,21561.060547,21561.060547,1939969500
2016-07-15,21589.080078,21739.210938,21515.349609,21659.250000,21659.250000,1784843200
2016-07-18,21656.880859,21822.000000,21616.160156,21803.179688,21803.179688,1368767600
2016-07-19,21734.339844,21767.880859,21612.599609,21673.199219,21673.199219,1257334500
2016-07-20,21646.390625,21895.230469,21632.509766,21882.480469,21882.480469,1417286000
2016-07-21,21971.970703,22118.220703,21913.160156,22000.490234,22000.490234,1569756600
2016-07-22,21913.039063,21972.869141,21832.429688,21964.269531,21964.269531,1120997900
2016-07-25,22071.769531,22071.769531,21878.880859,21993.439453,21993.439453,1189962100
2016-07-26,21890.890625,22300.509766,21890.890625,22129.730469,22129.730469,1938257900
2016-07-27,22193.310547,22277.240234,21997.880859,22218.990234,22218.990234,1958434400
2016-07-28,22134.119141,22214.720703,22053.509766,22174.339844,22174.339844,1611124800
2016-07-29,22055.949219,22152.750000,21830.460938,21891.369141,21891.369141,1745509100
2016-08-01,22027.650391,22260.949219,22027.650391,22129.140625,22129.140625,1815980500
2016-08-03,21743.320313,21822.220703,21725.380859,21739.119141,21739.119141,1685374700
2016-08-04,21873.359375,21922.419922,21788.310547,21832.230469,21832.230469,1019501800
2016-08-05,21961.050781,22193.289063,21961.050781,22146.089844,22146.089844,1163973600
2016-08-08,22324.179688,22503.279297,22260.070313,22494.759766,22494.759766,1409047300
2016-08-09,22464.099609,22496.750000,22402.910156,22465.609375,22465.609375,1306253700
2016-08-10,22511.099609,22618.039063,22399.289063,22492.429688,22492.429688,1564549200
2016-08-11,22412.310547,22689.939453,22359.919922,22580.550781,22580.550781,2356829800
2016-08-12,22788.880859,22816.750000,22704.050781,22766.910156,22766.910156,2316030200
2016-08-15,22765.230469,22975.740234,22765.230469,22932.509766,22932.509766,2496263600
2016-08-16,23008.089844,23084.519531,22841.660156,22910.839844,22910.839844,2005620700
2016-08-17,22995.509766,23029.480469,22775.869141,22799.779297,22799.779297,2081311500
